gene	transcript	GFP1	GFP2	GFP3	NFYA_DN1	NFYA_DN2	NFYA_DN3	PBCAB1	PBCAB2	PBCAB3
retsat	NM_001015061	11.18	10.53	12.87	16.32	14.34	12.31	7.95	13.99	10.56
hey2	NM_131622	7.57	5.88	9.59	9.12	7.36	3.97	5.20	6.36	6.67
napg	NM_001002469	1.84	1.82	2.50	2.03	1.39	1.91	1.74	1.51	1.56
lyn	NM_001004543	0.42	0.54	0.69	0.64	0.90	0.54	0.82	0.46	0.57
rnf25	NM_201183	47.48	46.87	47.06	55.32	57.03	74.08	79.63	53.51	67.02
si:dkey-85k7.7	NR_125779	55.09	59.32	13.61	75.74	85.51	211.29	404.18	47.27	293.28
lygl1	NM_001002706	0.65	0.82	0.78	1.51	2.29	3.27	0.78	6.83	1.97
or111-1	NM_131593	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
fam120b	NM_001003600	7.15	6.05	6.08	5.02	5.43	4.57	6.73	5.66	6.53
ahi1	NM_001077561,NM_001319989	19.06	21.97	16.68	13.04	13.32	14.89	44.47	19.33	39.53
foxn1	NM_212573	0.00	0.00	0.00	0.00	0.05	0.11	0.00	0.00	0.00
dnajb13	NM_001017606	0.84	0.59	2.32	1.28	0.96	0.68	1.34	1.17	1.71
mir430b-4	NR_034256	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
cx39.4	NM_001044823	0.20	0.63	0.40	0.21	0.31	0.41	0.83	0.52	0.32
pard3	NM_205735	26.02	28.18	22.38	21.27	21.36	24.78	43.43	26.70	40.84
acox3	NM_213147	0.72	1.03	1.63	1.33	0.81	0.95	0.52	1.79	1.08
zgc:123238	NM_001037112	11.41	15.92	10.21	13.64	14.88	16.05	16.81	15.85	16.69
ppib	NM_213019	861.64	832.39	1008.18	903.50	968.92	811.77	647.86	853.45	724.70
tmem128	NM_001029973	21.46	19.95	22.23	16.25	15.39	20.58	23.33	22.01	23.09
chrne	NM_001003772	0.70	0.29	0.35	0.96	0.79	0.22	0.25	0.44	0.53
ccdc61	NM_001077166	10.75	10.69	10.81	9.85	9.98	8.88	7.10	11.39	8.45
zgc:110182	NM_001017837	1.76	2.14	1.54	2.88	3.18	3.30	1.18	2.05	1.21
wbp11	NM_205652	258.77	227.99	183.38	212.38	207.43	216.06	280.49	211.82	269.44
dnttip2	NM_001145786	126.84	133.66	127.63	131.29	130.64	136.57	143.89	137.68	145.72
zgc:175176	NM_001114460	21.51	18.72	26.08	33.36	28.19	19.83	15.13	27.20	20.21
zgc:66447	NM_199735	26.52	26.22	23.99	18.95	19.85	22.60	25.88	27.16	26.35
irf1b	NM_205747	2.05	2.20	1.77	7.02	4.99	9.61	4.91	5.46	6.04
gins3	NM_001002874	56.19	54.30	49.12	50.89	57.26	54.84	61.23	50.47	59.15
plpp7	NM_205660	2.15	1.67	3.39	2.53	1.87	1.39	1.51	1.35	0.88
gpank1	NM_001105703	6.17	4.64	5.49	3.66	5.38	5.45	7.92	4.25	9.15
ndrg3a	NM_199517	31.12	33.39	30.60	24.34	23.22	15.22	23.47	28.10	25.85
zgc:103499	NM_001008606	8.76	7.13	11.17	9.31	8.30	7.20	8.26	9.85	8.38
btg4	NM_198121	0.08	0.09	0.49	0.35	0.59	1.03	0.30	2.49	0.35
mfsd11	NM_001030254	10.40	9.91	9.49	9.89	12.27	14.35	11.80	13.41	12.50
khdrbs1b	NM_213235	392.92	388.93	320.19	345.41	383.86	446.31	519.71	335.47	506.88
pglyrp2	NM_001045166	0.13	0.33	0.31	0.47	0.28	0.14	0.16	0.65	0.34
hoxc13a	NM_131543	0.00	0.18	0.17	0.18	0.27	0.27	0.10	0.09	0.19
zgc:194281	NM_001128757	11.23	12.70	12.93	14.89	10.49	12.62	14.69	14.19	14.64
ywhaba	NM_001082798	631.36	645.58	658.64	589.86	583.50	553.81	554.68	636.54	615.31
nop58	NM_001009889	317.18	322.32	310.48	284.16	289.06	295.61	307.47	313.84	311.09
nr4a2a	NM_001113484	0.17	0.59	0.11	0.12	0.23	0.18	0.81	0.47	0.36
gig2i	NM_001258225	0.00	0.00	0.00	0.00	0.17	0.00	0.00	0.00	0.00
hs3st1l2	NM_001039926	8.47	8.55	5.02	8.23	8.61	11.57	15.25	12.68	15.69
hdac8	NM_213431	32.66	30.27	34.63	30.72	29.47	18.23	19.12	29.39	21.89
wdr61	NM_200853	110.75	105.86	116.44	121.74	118.30	110.84	87.21	108.77	96.83
zgc:91860	NM_001002193	30.63	32.62	21.15	38.67	48.17	60.11	55.92	35.62	48.46
parvaa	NM_001002872	37.28	38.84	41.21	42.58	38.10	35.56	58.06	40.48	54.61
arl13b	NM_173272	21.06	19.86	25.43	15.47	18.30	17.52	20.09	22.70	22.37
cadm2a	NM_200664	0.27	0.37	0.09	0.61	0.41	0.56	0.21	0.28	0.62
zgc:194398	NM_001135142	0.53	0.94	0.41	0.20	0.15	0.51	2.38	0.24	1.54
tmem185	NM_200437	10.96	11.39	12.58	11.36	9.33	8.54	8.07	11.40	9.58
mapk6	NM_001045552	125.76	129.57	139.27	137.32	127.37	114.62	78.92	143.92	95.31
zfpm2a	NM_001039635	0.07	0.08	0.10	0.26	0.20	0.26	0.24	0.21	0.27
ahsa1a	NM_001045091	14.09	15.37	22.07	22.52	22.55	13.02	6.90	22.63	9.03
ddx11	NM_001007319	11.23	12.11	10.67	13.70	15.19	16.27	15.37	13.09	15.60
trim33	NM_001002871	62.21	65.86	49.02	60.31	56.79	74.84	115.45	68.25	103.72
phkg2	NM_200962	24.18	23.93	27.87	25.22	25.20	24.54	23.10	28.68	24.13
nitr12	NM_001025496	0.21	0.22	0.43	0.00	0.22	0.00	0.13	0.11	0.35
tnfsf10l4	NM_001013283	0.90	1.33	0.81	0.76	0.65	1.04	1.51	1.41	2.14
sox4b	NM_200901	14.88	12.72	14.41	12.13	11.29	9.86	11.73	14.46	14.64
sgk2b	NM_001076564	1.07	1.12	1.18	15.67	8.81	9.28	1.01	3.18	1.09
ext1c	NM_001040330	3.77	4.58	4.18	2.16	2.56	1.52	2.05	1.34	2.68
dus3l	NM_200674	42.70	40.87	38.92	44.33	43.46	47.73	54.80	44.12	50.48
cacnb3a	NM_001083555	0.05	0.10	0.00	0.05	0.00	0.00	0.23	0.15	0.00
fam83fb	NM_001007320	0.69	0.67	0.69	23.09	18.84	19.85	0.14	0.66	0.62
