"V2" "V3"
"257" 3182000 3182150
"258" 3211560 3211710
"259" 3212660 3212830
"260" 3239900 3240050
"261" 3240160 3240310
"262" 3240500 3240650
"263" 3240740 3240970
"264" 3252500 3252650
"265" 3293260 3293410
"266" 3328160 3328350
"267" 3331680 3331830
"268" 3331860 3332130
"269" 3344600 3344970
"270" 3383760 3383910
"271" 3441280 3441510
"272" 3467660 3467870
"273" 3473540 3473730
"274" 3475680 3476050
"275" 3480080 3480390
"276" 3513360 3513550
"277" 3521360 3521630
"278" 3525280 3525430
"279" 3526680 3526870
"280" 3576400 3576610
"281" 3608120 3608270
"282" 3647800 3648010
"283" 3728040 3728190
"284" 3732140 3732350
"285" 3732660 3732910
"286" 3751280 3751430
"287" 3751580 3751830
"288" 3760100 3760410
"289" 3768400 3768670
"290" 3771020 3771230
"291" 3783060 3783210
"292" 3819160 3819310
"293" 3826980 3827130
"294" 3828640 3828830
"295" 3835320 3835470
"296" 3848860 3849110
"297" 3862820 3862970
"298" 3863280 3863550
"299" 3863840 3863990
"300" 3866300 3866550
"301" 3875680 3875890
"302" 3893560 3893810
"303" 3906860 3907230
"304" 3931140 3931290
"305" 3936940 3937090
"306" 3954960 3955110
"307" 3963260 3963510
"308" 3981040 3981210
"309" 3982040 3982270
"310" 3994220 3994410
"311" 4000560 4000710
"312" 4004920 4005150
"313" 4020100 4020310
"314" 4023700 4023850
"315" 4030900 4031150
"316" 4048220 4048490
"317" 4048540 4048750
"318" 4063100 4063250
"319" 4073420 4073750
"320" 4073760 4073910
"321" 4076880 4077030
"322" 4077580 4077810
"323" 4084360 4084510
"324" 4084600 4084750
"325" 4090560 4090810
"326" 4093340 4093490
"327" 4105400 4105550
"328" 4108860 4109010
"329" 4114120 4114270
"330" 4116220 4116410
"331" 4117580 4117730
"332" 4117800 4118090
"333" 4118120 4118270
"334" 4137040 4137190
"335" 4138060 4138210
"336" 4139440 4139590
"337" 4152980 4153230
"338" 4193340 4193490
"339" 4197640 4197930
"340" 4223280 4223430
"341" 4225800 4226050
"342" 4226060 4226210
"343" 4226600 4226750
"344" 4228680 4228910
"345" 4229280 4229590
"346" 4235980 4236250
"347" 4238820 4238970
"348" 4259640 4259790
"349" 4286340 4286490
"350" 4293880 4294030
"351" 4296300 4296590
"352" 4296820 4296970
"353" 4297040 4297190
"354" 4297360 4297590
"355" 4297600 4297750
"356" 4297760 4297970
"357" 4298420 4298570
"358" 4298600 4299050
"359" 4299820 4300110
"360" 4315080 4315230
"361" 4315700 4315910
"362" 4316140 4316290
"363" 4318160 4318310
"364" 4327500 4327910
"365" 4328140 4328350
"366" 4333780 4333930
"367" 4339380 4339630
"368" 4355160 4355410
"369" 4366460 4366610
"370" 4366780 4367030
"371" 4367200 4367450
"372" 4374860 4375130
"373" 4375420 4375670
"374" 4382320 4382510
"375" 4382740 4383030
"376" 4383120 4383270
"377" 4386860 4387030
"378" 4393880 4394110
"379" 4423240 4423450
"380" 4430600 4430750
"381" 4432340 4432530
"382" 4489780 4489930
"383" 4490820 4490970
"384" 4531480 4531750
"385" 4549160 4549430
"386" 4549540 4549690
"387" 4549820 4549990
"388" 4564340 4564490
"389" 4595860 4596050
"390" 4596640 4596870
"391" 4604340 4604490
"392" 4604620 4604870
"393" 4604940 4605270
"394" 4605280 4605430
"395" 4626400 4626690
"396" 4630900 4631150
"397" 4640100 4640370
"398" 4644660 4644810
"399" 4661780 4662050
"400" 4662140 4662350
"401" 4662560 4662910
"402" 4662940 4663110
"403" 4665160 4665310
"404" 4665440 4665590
"405" 4666100 4666350
"406" 4666380 4666730
"407" 4674920 4675150
"408" 4675160 4675310
"409" 4679100 4679250
"410" 4679300 4679750
"411" 4679800 4680110
"412" 4680140 4680290
"413" 4699380 4699530
"414" 4713980 4714130
"415" 4734260 4734410
"416" 4739880 4740130
"417" 4740620 4740770
"418" 4741040 4741290
"419" 4741580 4742090
"420" 4748700 4748850
"421" 4749080 4749230
"422" 4749260 4749410
"423" 4750100 4750370
"424" 4750400 4750550
"425" 4757160 4757310
"426" 4759380 4759610
"427" 4759940 4760090
"428" 4761620 4761770
"429" 4762200 4762350
"430" 4762360 4762510
"431" 4762620 4762830
"432" 4763280 4763590
"433" 4771000 4771150
"434" 4780420 4780570
"435" 4792420 4792650
"436" 4792920 4793130
"437" 4793160 4793310
"438" 4797440 4797670
"439" 4797980 4798210
"440" 4831120 4831470
"441" 4837940 4838090
"442" 4838160 4838470
"443" 4849520 4849770
"444" 4853900 4854050
"445" 4855880 4856030
"446" 4856080 4856230
"447" 4879200 4879350
"448" 4901280 4901510
"449" 4904540 4904690
"450" 4921440 4921730
"451" 4923900 4924250
"452" 4924280 4924550
"453" 4924600 4924750
"454" 4942300 4942530
"455" 4982440 4982590
"456" 4984320 4984910
"457" 4985160 4985390
"458" 4985500 4985710
"459" 4985900 4986050
"460" 4987980 4988190
"461" 4988300 4988670
"462" 5073520 5073670
"463" 5073760 5073970
"464" 5185600 5185750
"465" 5185840 5186130
"466" 5186200 5186350
"467" 5186480 5186710
"468" 5263560 5263890
"469" 5265980 5266450
"470" 5269200 5269510
"471" 5277500 5277650
"472" 5277680 5277910
"473" 5300600 5300750
"474" 5321100 5321370
"475" 5327340 5327570
"476" 5366640 5366790
"477" 5389200 5389350
"478" 5390660 5390810
"479" 5402300 5402550
"480" 5425080 5425330
"481" 5429240 5429390
"482" 5430840 5431290
"483" 5437300 5437450
"484" 5437480 5437930
"485" 5439260 5439410
"486" 5440900 5441050
"487" 5441080 5441390
"488" 5442360 5442990
"489" 5446400 5446630
"490" 5450480 5450790
"491" 5453820 5453970
"492" 5470200 5470470
"493" 5481340 5481610
"494" 5487060 5487210
"495" 5511780 5512010
"496" 5549840 5550070
"497" 5574920 5575070
"498" 5575080 5575330
"499" 5590120 5590330
"500" 5600560 5600770
"501" 5608280 5608430
"502" 5608580 5608790
"503" 5610580 5610730
"504" 5628440 5628990
"505" 5629480 5629630
"506" 5715180 5715410
"507" 5759360 5759510
"508" 5773620 5773910
"509" 5794700 5794850
"510" 5799320 5799530
"511" 5832560 5832710
"512" 5833020 5833250
"513" 5833900 5834050
"514" 5839260 5839490
"515" 5843820 5844130
"516" 5844860 5845050
"517" 5845500 5845650
"518" 5846120 5846290
"519" 5851380 5851630
"520" 5869400 5869550
"521" 5869780 5870030
"522" 5874260 5874410
"523" 5876240 5876390
"524" 5876860 5877110
"525" 5884900 5885050
"526" 5885920 5886090
"527" 5886180 5886390
"528" 5886600 5886750
"529" 5887400 5887550
"530" 5899200 5899350
"531" 5899360 5899590
"532" 5899700 5899850
"533" 5976780 5977010
"534" 5988480 5988630
"535" 6006960 6007710
"536" 6015640 6015850
"537" 6015880 6016030
"538" 6024120 6024450
"539" 6024540 6024690
"540" 6030200 6030350
"541" 6049800 6050110
"542" 6053600 6053750
"543" 6054060 6054210
"544" 6054600 6054810
"545" 6054840 6054990
"546" 6055040 6055190
"547" 6055240 6055510
"548" 6079820 6079970
"549" 6079980 6080430
"550" 6080460 6080770
"551" 6081480 6081730
"552" 6107100 6107350
"553" 6120260 6120410
"554" 6126460 6126710
"555" 6148080 6148230
"556" 6194780 6195330
"557" 6197380 6197650
"558" 6210000 6210230
"559" 6224260 6224410
"560" 6236760 6237030
"561" 6239900 6240050
"562" 6253860 6254010
"563" 6302560 6302710
"564" 6305780 6305930
"565" 6306000 6306290
"566" 6317040 6317330
"567" 6334300 6334450
"568" 6353720 6353870
"569" 6354160 6354410
"570" 6354620 6354790
"571" 6412340 6412630
"572" 6412700 6413030
"573" 6413120 6413310
"574" 6413360 6413970
"575" 6414880 6415030
"576" 6428940 6429090
"577" 6459880 6460030
"578" 6488480 6488710
"579" 6495460 6495810
"580" 6512080 6512230
"581" 6527080 6527230
"582" 6551960 6552270
"583" 6566800 6567070
"584" 6567980 6568130
"585" 6568160 6568470
"586" 6568740 6568890
"587" 6584620 6585450
"588" 6585520 6585730
"589" 6594600 6594750
"590" 6628940 6629090
"591" 6632520 6632670
"592" 6638980 6639130
"593" 6645060 6645210
"594" 6645640 6646070
"595" 6667380 6667610
"596" 6667740 6668010
"597" 6680680 6680830
"598" 6680940 6681130
"599" 6681160 6681530
"600" 6686480 6686750
"601" 6700780 6700930
"602" 6703980 6704350
"603" 6739320 6739550
"604" 6739660 6739870
"605" 6747660 6747810
"606" 6757140 6757290
"607" 6757380 6757530
"608" 6758360 6759070
"609" 6827060 6827270
"610" 6827380 6827650
"611" 6827880 6828030
"612" 6829020 6829310
"613" 6845080 6845230
"614" 6845600 6845750
"615" 6845940 6846210
"616" 6848440 6848590
"617" 6870900 6871050
"618" 6877960 6878110
"619" 6887940 6888090
"620" 6901260 6901410
"621" 6907860 6908090
"622" 6909320 6909570
"623" 6909980 6910310
"624" 6911220 6911370
"625" 6931880 6932030
"626" 6932520 6932770
"627" 6943360 6943510
"628" 6943800 6943950
"629" 6944040 6944430
"630" 6962100 6962250
"631" 7052320 7052470
"632" 7052660 7052850
"633" 7052920 7053070
"634" 7053980 7054210
"635" 7094080 7094330
"636" 7094340 7094630
"637" 7097420 7097570
"638" 7135840 7136070
"639" 7172440 7172590
"640" 7172700 7172930
"641" 7174960 7175170
"642" 7186160 7186530
"643" 7186740 7186890
"644" 7197420 7197570
"645" 7216720 7216890
"646" 7234200 7234430
"647" 7259880 7260290
"648" 7273640 7273890
"649" 7318840 7319230
"650" 7320320 7320470
"651" 7323080 7323230
"652" 7341080 7341230
"653" 7342240 7342530
"654" 7358920 7359230
"655" 7360560 7360830
"656" 7360880 7361030
"657" 7371160 7371310
"658" 7394120 7394350
"659" 7401720 7401870
"660" 7402100 7402350
"661" 7402440 7402590
"662" 7440660 7440870
"663" 7479240 7479650
"664" 7511120 7511390
"665" 7520520 7520670
"666" 7536140 7536290
"667" 7536420 7536650
"668" 7536920 7537070
"669" 7569780 7570030
"670" 7570200 7570410
"671" 7570560 7570710
"672" 7592640 7593010
"673" 7614040 7614250
"674" 7657880 7658090
"675" 7690420 7690570
"676" 7786980 7787130
"677" 7794640 7794790
"678" 7799500 7799650
"679" 7799700 7799850
"680" 7844340 7844590
"681" 7880040 7880190
"682" 7932600 7932750
"683" 8108480 8108670
"684" 8183760 8183910
"685" 8186180 8186410
"686" 8222160 8222350
"687" 8234600 8234750
"688" 8235620 8235810
"689" 8263300 8263510
"690" 8288140 8288290
"691" 8308860 8309010
"692" 8366640 8366850
"693" 8414640 8414790
"694" 8414860 8415110
"695" 8432740 8432990
"696" 8485860 8486010
"697" 8486020 8486410
"698" 8504260 8504410
"699" 8514840 8515090
"700" 8525980 8526130
"701" 8588000 8588150
"702" 8595100 8595250
"703" 8600080 8600250
"704" 8653200 8653350
"705" 8653380 8653530
"706" 8673860 8674090
"707" 8718120 8718270
"708" 8762740 8762990
"709" 8766560 8766710
"710" 8855080 8855370
"711" 8855820 8855970
"712" 8856820 8856970
"713" 8857020 8857610
"714" 8860940 8861190
"715" 8864180 8864330
"716" 8870880 8871150
"717" 8895460 8895610
"718" 8895800 8896050
"719" 8905240 8905410
"720" 8918480 8918630
"721" 8961440 8961590
"722" 8978380 8978630
"723" 9003240 9003490
"724" 9004920 9005150
"725" 9142160 9142350
"726" 9179580 9179730
"727" 9215100 9215250
"728" 9299260 9299430
"729" 9301860 9302010
"730" 9337200 9337450
"731" 9352900 9353190
"732" 9353440 9353590
"733" 9378420 9378570
"734" 9387820 9388050
"735" 9462000 9462150
"736" 9499640 9499910
"737" 9521560 9521710
"738" 9598780 9599010
"739" 9606560 9606930
"740" 9607020 9607170
"741" 9719360 9719510
"742" 9790320 9790570
"743" 9791620 9792050
"744" 9847600 9847750
"745" 9855680 9855830
"746" 9897060 9897330
"747" 9912400 9912750
"748" 9914200 9914490
"749" 9919260 9919470
"750" 9920500 9920750
"751" 9940140 9940290
"752" 9942900 9943110
"753" 9943180 9943330
"754" 9971580 9971790
"755" 9998220 9998370
"756" 9998500 9998770
"757" 10026520 10026690
"758" 10045640 10045890
"759" 10059960 10060250
"760" 10060280 10060770
"761" 10060960 10061170
"762" 10061440 10061590
"763" 10178060 10178210
"764" 10232420 10232670
"765" 10265060 10265330
"766" 10268860 10269130
"767" 10274820 10274970
"768" 10275000 10275390
"769" 10365960 10366110
"770" 10366220 10366490
"771" 10479240 10479610
"772" 10526020 10526250
"773" 10531500 10531650
"774" 10612640 10612790
"775" 10612940 10613170
"776" 10855600 10855750
"777" 10855820 10856170
"778" 10866260 10866410
"779" 11015220 11015370
"780" 11078800 11078950
"781" 11093000 11093190
"782" 11148440 11148590
"783" 11149120 11149350
"784" 11149440 11149590
"785" 11204640 11204790
"786" 11319520 11319790
"787" 11319820 11319970
"788" 11353720 11353870
"789" 11406560 11406710
"790" 11565920 11566070
"791" 11618600 11618810
"792" 11650240 11650390
"793" 11952660 11952810
"794" 12045540 12045690
"795" 12092280 12092430
"796" 12195520 12195710
"797" 12328860 12329070
"798" 12329180 12329330
"799" 12329440 12329670
"800" 12329800 12329950
"801" 12426260 12426650
"802" 12464560 12464710
"803" 12464980 12465230
"804" 12465380 12465530
"805" 12465660 12465810
"806" 12503640 12503790
"807" 12554700 12554950
"808" 12604860 12605010
"809" 12640060 12640330
"810" 12641300 12641610
"811" 12658940 12659090
"812" 12666900 12667130
"813" 12699060 12699350
"814" 12699580 12699870
"815" 12702220 12702450
"816" 12716840 12717290
"817" 12718520 12718730
"818" 12718820 12719070
"819" 12719240 12719390
"820" 12719520 12719770
"821" 12723240 12723390
"822" 12723480 12723970
"823" 12724320 12724470
"824" 12734580 12734770
"825" 12753920 12754070
"826" 12774780 12775010
"827" 12775340 12775810
"828" 12775940 12776310
"829" 12776320 12776610
"830" 12778140 12778290
"831" 12784580 12784730
"832" 12785380 12785530
"833" 12814480 12814770
"834" 12818500 12818730
"835" 12819680 12819830
"836" 12819920 12820150
"837" 12840200 12840350
"838" 12850900 12851050
"839" 12884840 12885150
"840" 12922100 12922250
"841" 12922300 12922510
"842" 12972560 12972790
"843" 12977160 12977310
"844" 12988340 12988590
"845" 13034060 13034210
"846" 13034260 13034490
"847" 13088820 13089050
"848" 13089200 13089430
"849" 13089540 13089690
"850" 13128340 13128490
"851" 13213360 13213630
"852" 13248800 13248950
"853" 13278220 13278630
"854" 13278740 13279010
"855" 13279360 13279570
"856" 13279680 13279830
"857" 13282980 13283130
"858" 13291720 13292030
"859" 13295640 13295790
"860" 13351420 13351690
"861" 13351840 13352110
"862" 13384340 13384490
"863" 13409560 13409770
"864" 13420380 13420530
"865" 13424260 13424490
"866" 13427260 13427530
"867" 13427600 13427830
"868" 13428940 13429090
"869" 13446360 13446890
"870" 13446980 13447250
"871" 13448140 13448290
"872" 13450660 13450810
"873" 13477340 13477510
"874" 13478500 13478650
"875" 13484960 13485310
"876" 13508240 13508390
"877" 13513420 13513570
"878" 13542260 13542410
"879" 13568520 13568750
"880" 13568940 13569090
"881" 13580900 13581050
"882" 13648700 13648850
"883" 13677680 13677830
"884" 13688700 13688850
"885" 13689060 13689290
"886" 13689360 13689510
"887" 13705980 13706190
"888" 13707820 13707970
"889" 13717320 13717470
"890" 13744340 13744490
"891" 13744620 13744810
"892" 13750760 13750910
"893" 13755560 13755790
"894" 13756520 13756670
"895" 13956320 13956490
"896" 14031100 14031350
"897" 14056160 14056310
"898" 14056660 14056810
"899" 14058280 14058450
"900" 14068680 14069030
"901" 14071460 14071810
"902" 14076840 14076990
"903" 14081200 14081510
"904" 14087780 14087930
"905" 14096600 14096830
"906" 14111800 14112090
"907" 14121120 14121270
"908" 14127380 14127530
"909" 14153300 14153530
"910" 14251540 14251790
"911" 14302660 14302810
"912" 14305160 14305310
"913" 14306960 14307330
"914" 14307340 14307670
"915" 14313040 14313190
"916" 14315080 14315330
"917" 14315920 14316070
"918" 14322260 14322410
"919" 14322500 14322750
"920" 14322940 14323170
"921" 14346520 14346670
"922" 14347600 14347750
"923" 14347940 14348270
"924" 14353220 14353370
"925" 14353560 14353750
"926" 14400640 14400950
"927" 14401080 14401230
"928" 14418220 14418370
"929" 14428400 14428670
"930" 14428840 14429070
"931" 14429320 14429470
"932" 14429500 14429710
"933" 14433760 14434510
"934" 14436000 14436150
"935" 14442300 14442730
"936" 14464820 14464970
"937" 14465540 14465790
"938" 14478840 14478990
"939" 14505360 14505510
"940" 14547200 14547490
"941" 14576980 14577130
"942" 14616440 14616690
"943" 14616760 14616910
"944" 14633240 14633430
"945" 14633940 14634090
"946" 14647940 14648090
"947" 14648980 14649130
"948" 14652520 14652670
"949" 14652820 14653090
"950" 14661540 14661790
"951" 14661860 14662010
"952" 14662100 14662370
"953" 14692840 14693190
"954" 14766460 14766610
"955" 14768580 14768830
"956" 14768920 14769190
"957" 14769220 14769570
"958" 14788040 14788190
"959" 14831820 14832050
"960" 14845660 14845810
"961" 14846820 14847050
"962" 14863420 14863690
"963" 14888860 14889130
"964" 14910240 14910390
"965" 14936000 14936150
"966" 14950420 14950570
"967" 14982580 14982730
"968" 14993280 14993430
"969" 15018300 15018490
"970" 15042040 15042190
"971" 15055360 15055590
"972" 15097060 15097270
"973" 15104420 15104850
"974" 15104900 15105110
"975" 15105320 15105470
"976" 15126800 15126950
"977" 15126960 15127110
"978" 15133860 15134010
"979" 15134980 15135130
"980" 15135240 15135470
"981" 15135700 15135850
"982" 15143000 15143210
"983" 15143280 15143430
"984" 15173620 15173770
"985" 15209060 15209210
"986" 15210880 15211030
"987" 15211120 15211410
"988" 15211520 15211770
"989" 15212140 15212290
"990" 15225700 15225850
"991" 15232080 15232310
"992" 15265320 15265470
"993" 15271520 15271710
"994" 15277520 15278130
"995" 15280960 15281110
"996" 15293860 15294010
"997" 15306320 15306550
"998" 15306620 15306770
"999" 15306780 15307130
"1000" 15307320 15307730
"1001" 15311660 15311930
"1002" 15333120 15333270
"1003" 15333620 15333770
"1004" 15346800 15346950
"1005" 15354900 15355070
"1006" 15357080 15357450
"1007" 15362300 15362450
"1008" 15370980 15371130
"1009" 15403040 15403190
"1010" 15403240 15403550
"1011" 15416940 15417210
"1012" 15422360 15422950
"1013" 15423200 15423350
"1014" 15423420 15423970
"1015" 15469420 15469670
"1016" 15485920 15486170
"1017" 15486200 15486490
"1018" 15498140 15498290
"1019" 15501300 15501590
"1020" 15505960 15506210
"1021" 15510720 15510930
"1022" 15511080 15511330
"1023" 15511420 15511570
"1024" 15513440 15513790
"1025" 15513860 15514010
"1026" 15526640 15526790
"1027" 15533320 15533590
"1028" 15551880 15552030
"1029" 15552060 15552330
"1030" 15552340 15552490
"1031" 15553000 15553250
"1032" 15553260 15553410
"1033" 15553420 15553690
"1034" 15606520 15606670
"1035" 15606720 15606990
"1036" 15607080 15607230
"1037" 15620260 15620410
"1038" 15620460 15620710
"1039" 15622400 15622550
"1040" 15622640 15622910
"1041" 15642400 15642670
"1042" 15643220 15643370
"1043" 15656200 15656410
"1044" 15696880 15697350
"1045" 15717440 15717610
"1046" 15718480 15718630
"1047" 15718720 15718870
"1048" 15742480 15742630
"1049" 15798660 15798810
"1050" 15824340 15824630
"1051" 15837140 15837410
"1052" 15837460 15837810
"1053" 15838740 15838890
"1054" 15839500 15839770
"1055" 15852080 15852230
"1056" 15873640 15873890
"1057" 15884760 15884910
"1058" 15886280 15886430
"1059" 15889340 15889490
"1060" 15900220 15900370
"1061" 15909220 15909370
"1062" 15936580 15936730
"1063" 15936820 15937110
"1064" 15943120 15943270
"1065" 15967100 15967350
"1066" 15999580 15999790
"1067" 16027280 16027430
"1068" 16028540 16028770
"1069" 16028940 16029110
"1070" 16031640 16031790
"1071" 16032740 16033130
"1072" 16039240 16039710
"1073" 16053720 16053870
"1074" 16058340 16058650
"1075" 16062280 16062430
"1076" 16120080 16120310
"1077" 16131340 16131630
"1078" 16132280 16132430
"1079" 16133780 16134210
"1080" 16134280 16134430
"1081" 16136980 16137390
"1082" 16144620 16144770
"1083" 16145220 16145370
"1084" 16154520 16154970
"1085" 16185580 16185730
"1086" 16191120 16191270
"1087" 16191680 16192010
"1088" 16192260 16192470
"1089" 16192700 16192990
"1090" 16203340 16203490
"1091" 16216940 16217230
"1092" 16236100 16236570
"1093" 16257620 16257870
"1094" 16257960 16258170
"1095" 16258240 16258390
"1096" 16258600 16258750
"1097" 16261740 16261890
"1098" 16266700 16266970
"1099" 16267380 16267530
"1100" 16278660 16278910
"1101" 16290140 16290470
"1102" 16294200 16294350
"1103" 16309720 16309870
"1104" 16312240 16312390
"1105" 16315800 16316070
"1106" 16329840 16329990
"1107" 16332660 16332810
"1108" 16334320 16334510
"1109" 16337520 16337670
"1110" 16341320 16341470
"1111" 16352700 16352890
"1112" 16355300 16355450
"1113" 16371320 16371550
"1114" 16386740 16387010
"1115" 16399840 16400070
"1116" 16400840 16400990
"1117" 16417540 16417690
"1118" 16421120 16421290
"1119" 16436600 16436750
"1120" 16436800 16436950
"1121" 16446700 16446850
"1122" 16477120 16477290
"1123" 16496940 16497230
"1124" 16505420 16505570
"1125" 16519540 16519690
"1126" 16520480 16520630
"1127" 16522080 16522230
"1128" 16526960 16527110
"1129" 16530880 16531030
"1130" 16531180 16531350
"1131" 16575500 16575810
"1132" 16597080 16597230
"1133" 16602120 16602270
"1134" 16628460 16628610
"1135" 16640700 16641110
"1136" 16648620 16649010
"1137" 16653460 16653670
"1138" 16664220 16664370
"1139" 16685460 16685610
"1140" 16703020 16703190
"1141" 16704660 16704890
"1142" 16705060 16705230
"1143" 16705320 16705470
"1144" 16708620 16708850
"1145" 16709240 16709470
"1146" 16710900 16711050
"1147" 16714920 16715130
"1148" 16715340 16715670
"1149" 16726100 16726430
"1150" 16726800 16726950
"1151" 16740660 16740850
"1152" 16795480 16795630
"1153" 16809080 16809270
"1154" 16824540 16824750
"1155" 16824800 16825110
"1156" 16828600 16828750
"1157" 16829140 16829290
"1158" 16866460 16866610
"1159" 16866640 16866930
"1160" 16870300 16870810
"1161" 16871640 16872130
"1162" 16873140 16873290
"1163" 16922020 16922290
"1164" 16928460 16928610
"1165" 16952740 16952950
"1166" 16974500 16974650
